,Fail_num,Score,Fitness,Sharpe,Returns,Turnover,Drawdown,Self_Corr,Exec_time,Generation,Thread_num,Task_num,Alpha,From_process
1149,4,0.0055,0,0.01,-0.10%,4.70%,44.09%,,105.41s,1,3,3,"trade_when(ts_mean(returns, 20) - 0.01, ts_corr(scl12_buzz + ts_corr(rank(snt_buzz), rank(ts_max(snt_value/scl12_sentiment, 60)), 30), ts_corr(ts_sum(ts_decay_linear(snt_social_volume, 5), 8), correlation_last_60_days_spy, 7), 60), -1)",10
1150,4,0.0055,0,0.01,-0.03%,4.14%,19.58%,,32.23s,1,8,5,"trade_when(ts_mean(returns, 20) - 0.01, ts_decay_linear(scl12_sentiment, 250), -1)",11
1151,4,0.0055,0,0.01,0.22%,9.99%,74.44%,,67.34s,2,9,6,"ts_covariance(ts_delta(ts_delta(snt_buzz_ret - snt_social_volume, 60), 15), ts_rank(ts_rank(snt_social_volume, 30), 5) + ts_rank(ts_rank(snt_social_volume, 30), 60), 30)",12
1152,4,0.0055,0,0.01,-0.02%,31.79%,8.58%,,65.46s,2,10,6,"ts_rank(ts_mean(-snt_buzz_ret + ts_covariance(rank(ts_sum(beta_last_30_days_spy, 2)), rank(0.95343*scl12_sentiment - snt_buzz_ret + 0.04657*snt_value), 6), 7), 9)",13
1153,4,0.0055,0,0.01,-0.04%,3.17%,6.39%,,40.31s,1,2,2,"trade_when(ts_mean(returns, 20) - 0.01, ts_delta(snt_social_value, 9), -1)",16
1154,4,0.0055,0,0.01,-0.02%,99.01%,12.59%,,36.28s,2,5,7,"ts_rank(scl12_sentiment, 9)",16
1155,4,0.0055,0,0.01,-0.06%,16.67%,23.67%,,34.44s,1,3,5,"log(rank(rank(rank(snt_social_value)/ts_max(beta_last_90_days_spy, 7))))",17
1156,4,0.0055,0,0.01,0.20%,3.89%,85.93%,,34.74s,2,8,6,"trade_when(ts_mean(returns, 20) - 0.01, abs(ts_delta(ts_product(beta_last_90_days_spy, 5)*ts_rank(snt_buzz, 21), 1)), -1)",17
1157,4,0.0055,0,0.01,-0.05%,5.71%,19.62%,,34.28s,3,9,10,"trade_when(ts_mean(returns, 20) - 0.01, ts_delta(ts_delta(systematic_risk_last_90_days, 6), 6), -1)",19
1158,4,0.0055,0,0.01,-0.26%,24.82%,108.78%,,41.54s,5,9,17,"ts_sum(ts_delta(ts_min(correlation_last_60_days_spy**5 + snt_value**2, 15), 9), 21)/ts_sum(ts_min(correlation_last_60_days_spy**5, 8), 15)",19
1159,4,0.0055,0,0.01,-0.08%,3.00%,12.78%,,48.58s,5,10,18,"trade_when(ts_mean(returns, 20) - 0.01, ts_sum(ts_delta(ts_min(correlation_last_60_days_spy**5 + ts_min(snt_social_value, 2), 15), 9), 21)/ts_sum(ts_min(ts_rank(ts_min(snt_social_value, 2), 3), 8), 15), -1)",19
1160,4,0.0055,0,0.01,-0.11%,38.77%,42.96%,,52.73s,1,9,1,"ts_corr(ts_delta(inverse(ts_max(ts_decay_linear(rating, 10), 6)), 7), ts_max(ts_delta(ts_corr(systematic_risk_last_30_days, snt_buzz, 2) + ts_decay_linear(scl12_sentiment, 2), 21), 250), 8)",2
1161,4,0.0055,0,0.01,-0.30%,2.75%,85.23%,,37.03s,2,3,6,"ts_sum(ts_mean(snt_buzz_ret*unsystematic_risk_last_90_days/unsystematic_risk_last_60_days, 120), 6)",20
1162,4,0.0055,0,0.01,0.14%,6.53%,57.74%,,45.23s,2,7,6,"trade_when(ts_mean(returns, 20) - 0.01, snt_buzz_ret*unsystematic_risk_last_90_days/unsystematic_risk_last_60_days, -1)",20
1163,4,0.0055,0,0.01,0.05%,4.24%,14.94%,,56.44s,1,9,1,"trade_when(ts_mean(returns, 20) - 0.01, rank(-sign(rank(ts_corr(rank(unsystematic_risk_last_30_days), rank(beta_last_90_days_spy/beta_last_60_days_spy), 21))) + ts_decay_linear(scl12_sentiment, 6)), -1)",5
1164,4,0.0055,0,0.01,0.02%,41.47%,10.39%,,79.26s,1,4,4,"group_neutralize(snt_social_value/(rating*group_neutralize(systematic_risk_last_60_days/systematic_risk_last_90_days, market)), market) - ts_covariance(rank(ts_delta(ts_covariance(rank(beta_last_60_days_spy), rank(beta_last_60_days_spy), 4), 3)), rank(ts_delay(ts_corr(rank(snt_buzz_ret), rank(beta_last_30_days_spy/beta_last_60_days_spy), 2), 7)), 60)",9
1165,4,0,0,0,0.01%,5.46%,42.95%,,54.58s,1,5,3,"trade_when(ts_mean(returns, 20) - 0.01, -ts_delta(ts_rank(ts_mean(rank(snt_buzz), 45), 120), 21) + ts_rank(ts_corr(rank(-rating**2), rank(-ts_delay(rating, 6)), 5), 5), -1)",12
1166,4,0,0,0,0.00%,21.97%,14.83%,,34.28s,3,7,11,"ts_rank(snt_social_volume, 30)",12
1167,4,0,0,0,-0.01%,9.89%,35.85%,,30.32s,4,2,11,correlation_last_60_days_spy**5,19
1168,4,0,0,0,0.00%,3.47%,8.51%,,38.31s,2,6,9,"trade_when(ts_mean(returns, 20) - 0.01, ts_delta(ts_rank(ts_min(snt_social_value, 2), 3), 6), -1)",19
1169,4,0,0,0,-0.01%,9.89%,35.85%,,32.35s,4,7,13,2*correlation_last_60_days_spy**5,19
1170,4,0,0,0,0.01%,3.61%,39.74%,,58.50s,1,3,1,"trade_when(ts_mean(returns, 20) - 0.01, ts_rank(ts_sum(ts_delay(snt_social_volume, 180)*ts_min(snt_value, 250) + ts_mean(ts_corr(rank(snt_social_value), rank(scl12_sentiment), 9), 21), 8), 21), -1)",4
1171,5,1.495,0.78,2.08,-5.86%,41.47%,57.81%,,38.34s,5,9,19,"rating - rank(ts_corr(rank(rating), rank(0.61626*beta_last_60_days_spy + 0.38374*beta_last_90_days_spy), 8)) - ts_max(unsystematic_risk_last_90_days, 15) + ts_std_dev(scl12_buzz, 3)",13
1172,5,1.444,0.74,2.02,-5.51%,41.47%,54.31%,,38.33s,5,3,16,"2*rating - 2*ts_max(unsystematic_risk_last_90_days, 15) + ts_std_dev(scl12_buzz, 3)",13
1173,5,1.412,0.73,1.97,-5.75%,41.47%,56.89%,,40.40s,4,9,16,"rating - 2*ts_max(unsystematic_risk_last_90_days, 15) + ts_std_dev(scl12_buzz, 3)",13
1174,5,1.403,0.71,1.97,-5.39%,41.47%,53.44%,,40.35s,5,5,18,"2*rating - 3*ts_max(unsystematic_risk_last_90_days, 15) + ts_std_dev(scl12_buzz, 3)",13
1175,5,1.273,0.58,1.84,-4.12%,41.47%,40.50%,,26.22s,2,2,6,"rank(rank(ts_rank(abs(rating), 6)))",6
1176,5,1.273,0.58,1.84,-4.12%,41.47%,40.50%,,36.31s,2,6,6,"rank(ts_rank(abs(rating), 6))",6
1177,5,1.273,0.58,1.84,-4.13%,41.47%,40.55%,,30.22s,2,8,8,"ts_rank(abs(rating), 6)",6
1178,5,1.273,0.58,1.84,-4.12%,41.47%,40.50%,,28.26s,1,9,5,"rank(ts_rank(abs(rating), 6))",6
1179,5,1.273,0.58,1.84,-4.12%,41.47%,40.50%,,38.33s,2,10,10,"rank(rank(ts_rank(abs(rating), 6)))",6
1180,5,1.088,0.45,1.61,-3.18%,41.47%,33.39%,,52.45s,5,3,15,"rating + ts_corr(rank(correlation_last_90_days_spy/correlation_last_60_days_spy), rank(rank(rank(unsystematic_risk_last_90_days))), 7) - ts_max(unsystematic_risk_last_90_days, 15)",13
1181,5,1.022,0.45,1.49,-3.85%,41.47%,40.94%,,40.37s,5,1,16,"2*rating + unsystematic_risk_last_90_days - 2*ts_max(unsystematic_risk_last_90_days, 15)",13
1182,5,0.9955,0.44,1.45,-3.83%,41.47%,41.63%,,28.33s,5,8,16,2*rating,12
1183,5,0.9955,0.44,1.45,-3.83%,41.47%,41.63%,,28.31s,2,10,6,"ts_decay_linear(rating, 6)",16
1184,5,0.9955,0.44,1.45,-3.83%,41.47%,41.63%,,28.25s,2,10,6,abs(rating),6
1185,5,0.9955,0.44,1.45,-3.83%,41.47%,41.63%,,32.34s,1,2,1,"ts_decay_linear(rating, 120)",7
1186,5,0.9865,0.42,1.45,-3.50%,41.47%,38.18%,,28.28s,3,2,8,inverse(inverse(rank(rating))),15
1187,5,0.9865,0.42,1.45,-3.50%,41.47%,38.18%,,28.49s,3,5,9,rank(rating),6
1188,5,0.9865,0.42,1.45,-3.50%,41.47%,38.18%,,32.25s,2,7,9,rank(abs(rating)),6
1189,5,0.981,1.19,0.81,-26.90%,1.77%,235.33%,,65.40s,1,9,4,"trade_when(ts_mean(returns, 20) - 0.01, ts_product(snt_social_volume, 45), -1)",16
1190,5,0.975,1.14,0.84,-22.89%,6.19%,238.06%,,46.33s,5,4,19,"trade_when(ts_mean(returns, 20) - 0.01, ts_rank(ts_min(snt_social_value, 2), 3)*ts_sum(0.2686*scl12_sentiment + 1.7314*snt_value, 120)**2/(ts_sum(ts_min(systematic_risk_last_90_days, 8), 15)**2*ts_sum(ts_min(ts_mean(systematic_risk_last_90_days, 3), 8), 15)), -1)",19
